"id";"time";"attrstring";"value"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:00:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:00:00+07";"";"1.051"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:00:00+07";"";"44.6"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:00:59+07";"";"44.6"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:01:00+07";"";"0.019"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:01:00+07";"";"1.809"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:01:57+07";"";"44.6"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:02:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:02:00+07";"";"1.830"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:02:55+07";"";"44.6"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:03:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:03:00+07";"";"1.834"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:03:54+07";"";"44.6"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:04:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:04:00+07";"";"1.832"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:04:52+07";"";"44.6"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 00:05:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 00:05:00+07";"";"1.803"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 00:05:51+07";"";"44.7"
